id;titulo;preco;endereco;detalhes;descricao;link;tamanho;quartos;vagas;suites;plantas;data_extracao
58;"SMAS, PARK SUL, BRASILIA";1780000.00;N/A;"107 m²
3 Quartos
1 Suíte
2 Vagas";"3 QUARTOS 1 SUITE LIVING PARK SUL 61 98114-0082";https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-park-sul-brasilia-df-smas-1070878;107;3;2;1;;"2025-04-11 08:43:29"
59;"SQN 109, ASA NORTE, BRASILIA";1690000.00;N/A;"110 m²
3 Quartos
1 Suíte
2 Vagas";"LINDO APARTAMENTO REFORMADO COM 3 QUARTOS (1 SUÍTE), 2 VAGAS, À VENDA NA SQN 109!";https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-109-1047382;110;3;2;1;;"2025-04-11 08:43:29"
60;"SQS 309, ASA SUL, BRASILIA";1950000.00;N/A;"167 m²
4 Quartos
1 Suíte
1 Vaga";"SQS 309 APARTAMENTO EXCLUSIVO DE 4 QUARTOS";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-309-1054126;167;4;1;1;;"2025-04-11 08:43:29"
61;"CRNW 503 Bloco A Lote 1 NOROESTE, BRASILIA";NULL;"Amaze Studios";"43 a 132 m²
0 a 1 quartos
4 plantas";;https://www.dfimoveis.com.br/imovel/lancamento-amaze-studios-1064224;"43 a 132";"0 a 1";;;4;"2025-04-11 08:43:29"
62;"SQSW 300, SUDOESTE, BRASILIA";2300000.00;N/A;"148 m²
4 Quartos
2 Suítes
2 Vagas";"SQSW 300 - VIA ALVORADA";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sudoeste-brasilia-df-sqsw-300-1112293;148;4;2;2;;"2025-04-11 08:43:29"
63;"SQNW 107 Bloco C, NOROESTE, BRASILIA";2380000.00;N/A;"175 m²
3 Quartos
1 Suíte
3 Vagas";"VIA PRESTIGE SQNW 107 - COBERTURA DUPLEX - REFORMADO - 3 VAGAS DE GARAGEM";https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-107-bloco-c-1089520;175;3;3;1;;"2025-04-11 08:43:29"
64;"SGCV Lote 1, PARK SUL, BRASILIA";2319521.00;N/A;"147 m²
4 Quartos
2 Suítes
3 Vagas";"UM RESORT NO PARK SUL I HALL PRIVATIVO + VARANDA FRANCESA + 4 QUARTOS";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-park-sul-brasilia-df-sgcv-lote-1-1097387;147;4;3;2;;"2025-04-11 08:43:29"
65;"CRNW 510 Bloco B Lote 5 NOROESTE, BRASILIA";NULL;"V&C Studios";"70 a 81 m²
2 plantas";"PRIMEIRO STUDIO ALTO PADRÃO DO NOROESTE";https://www.dfimoveis.com.br/imovel/lancamento-vc-studios--404056;"70 a 81";;;;2;"2025-04-11 08:43:29"
66;"SQNW 108 Bloco A, NOROESTE, BRASILIA";2090000.00;N/A;"126 m²
3 Quartos
1 Suíte
2 Vagas";"NOROESTE PERPENDICULAR SUL";https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-108-bloco-a-1136887;126;3;2;1;;"2025-04-11 08:43:29"
67;"SQNW 309, NOROESTE, BRASILIA";1650000.00;N/A;"127 m²
3 Quartos
2 Suítes
2 Vagas";"SQNW 309 REGENT RESIDENCIAL PROJETO EMANUELLA GÓES SQNW 309 REGENT RESIDENCIAL PROJETO EMANUELLA GÓES REFORMADO MUITOS ARMÁRIOS";https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-309-905394;127;3;2;2;;"2025-04-11 08:43:29"
68;"SQSW 103, SUDOESTE, BRASILIA";2295000.00;N/A;"159 m²
4 Quartos
2 Suítes
1 Vaga";", MARBELLA SQSW 103 - APARTAMENTO 4 QUARTOS (2 SUÍTES, 1 QUARTO SOCIAL E 1 QUARTO/VARANDA) + DCE E LAVABO";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sudoeste-brasilia-df-sqsw-103-954044;159;4;1;2;;"2025-04-11 08:43:29"
69;"SQNW 306 NOROESTE, BRASILIA";NULL;"2 e 3 QUARTOS PADRÃO LUXO";"64 a 220 m²
2 a 3 quartos
6 plantas";"URBAN 306";https://www.dfimoveis.com.br/imovel/lancamento-2-e-3-quartos-padrao-luxo-333310;"64 a 220";"2 a 3";;;6;"2025-04-11 08:43:29"
70;"SQNW 307, NOROESTE, BRASILIA";1640000.00;N/A;"163 m²
2 Quartos
2 Suítes
2 Vagas";"- OPORTUNIDADE - TRIPLEX - 2 SUÍTES - REFORMADO TRIPLEX - 2 SUÍTES - REFORMADO - COM MARCENARIA PREMIUM";https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-noroeste-brasilia-df-sqnw-307-1096528;163;2;2;2;;"2025-04-11 08:43:29"
71;"SQNW 110 Bloco B, NOROESTE, BRASILIA";2150000.00;N/A;"152 m²
4 Quartos
3 Suítes
4 Vagas";;https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-noroeste-brasilia-df-sqnw-110-bloco-b-1092263;152;4;4;3;;"2025-04-11 08:43:29"
72;"SGCV Lote 27, PARK SUL, BRASILIA";2300000.00;N/A;"145 m²
3 Quartos
3 Suítes
3 Vagas";"DUPLEX EXCLUSIVO NO PARKSUL!";https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-park-sul-brasilia-df-sgcv-lote-27-1130445;145;3;3;3;;"2025-04-11 08:43:29"
73;"SQNW 104 Bloco F, NOROESTE, BRASILIA";1954136.00;N/A;"105 m²
3 Quartos
3 Suítes
3 Vagas";"SETOR NOROESTE | APARTAMENTO 3 QUARTOS, SENDO 3 SUITES";https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-104-bloco-f-1088638;105;3;3;3;;"2025-04-11 08:43:29"
74;"SGCV, PARK SUL, BRASILIA";1994869.00;N/A;"126 m²
3 Quartos
3 Suítes
3 Vagas";"SQPS 103 - 3 QUARTOS SUÍTES, SUPER QUADRA PARK SUL! 3 SUÍTES, COZINHA SEPARADA ÁREA SERVIÇO, 3 VAGAS, DEPOSITO!";https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-park-sul-brasilia-df-sgcv-1053153;126;3;3;3;;"2025-04-11 08:43:29"
